DATE,Storage in Mcft,inflow in cusec,Discharge in cusec
15.03.16,0,0,0
16.03.16,0,0,0
17.03.16,0,0,0
18.03.16,0,0,0
19.03.16,0,0,0
20.03.16,0,0,0
21.03.16,0,0,0
22.03.16,0,0,0
23.03.16,0,0,0
24.03.16,0,0,0
25.03.16,0,0,0
26.03.16,0,0,0
27.03.16,0,0,0
28.03.16,0,0,0
29.03.16,0,0,0
30.03.16,0,0,0
31.03.16,0,0,0
01.04.16,0,0,0
02.04.16,0,0,0
03.04.16,0,0,0
04.04.16,0,0,0
05.04.16,0,0,0
06.04.16,0,0,0
07.04.16,0,0,0
08.04.16,0,0,0
09.04.16,0,0,0
10.04.16,0,0,0
11.04.16,0,0,0
12.04.16,0,0,0
13.04.16,0,0,0
14.04.16,0,0,0
15.04.16,0,0,0
16.04.16,0,0,0
17.04.16,0,0,0
18.04.16,0,0,0
19.04.16,0,0,0
20.04.16,0,0,0
21.04.16,0,0,0
22.04.16,0,0,0
23.04.16,0,0,0
24.04.16,0,0,0
25.04.16,0,0,0
26.04.16,0,0,0
27.04.16,0,0,0
28.04.16,0,0,0
29.04.16,0,0,0
30.04.16,0,0,0
01.05.16,0,0,0
02.05.16,0,0,0
03.05.16,0,0,0
04.05.16,0,0,0
05.05.16,0,0,0
06.05.16,0,0,0
07.05.16,0,0,0
08.05.16,0,0,0
09.05.16,0,0,0
10.05.16,0,0,0
11.05.16,0,0,0
12.05.16,0,0,0
13.05.16,0,0,0
14.05.16,0,0,0
15.05.16,0,0,0
16.05.16,0,0,0
17.05.16,0,0,0
18.05.16,0,0,0
19.05.16,0,0,0
20.05.16,0,0,0
21.05.16,0,0,0
22.05.16,0,0,0
23.05.16,0,0,0
24.05.16,0,0,0
25.05.16,0,0,0
26.05.16,0,0,0
27.05.16,0,0,0
28.05.16,0,0,0
29.05.16,0,0,0
30.05.16,0,0,0
31.05.16,0,0,0
01.06.16,0,0,0
02.06.16,0,0,0
03.06.16,0,0,0
04.06.16,0,0,0
05.06.16,0,0,0
06.06.16,0,0,0
07.06.16,0,0,0
08.06.16,0,0,0
09.06.16,0,0,0
10.06.16,0,0,0
11.06.16,0,0,0
12.06.16,0,0,0
13.06.16,0,0,0
14.06.16,0,0,0
15.06.16,0,0,0
16.06.16,0,0,0
17.06.16,0,0,0
18.06.16,0,0,0
19.06.16,0,0,0
20.06.16,0,0,0
21.06.16,0,0,0
22.06.16,0,0,0
23.06.16,0,0,0
24.06.16,0,0,0
25.06.16,0,0,0
26.06.16,0,0,0
27.06.16,0,0,0
28.06.16,0,0,0
29.06.16,0,0,0
30.06.16,0,0,0
01.07.16,0,0,0
02.07.16,0,0,0
03.07.16,0,0,0
04.07.16,0,0,0
05.07.16,0,0,0
06.07.16,0,0,0
07.07.16,0,0,0
08.07.16,0,0,0
09.07.16,0,0,0
10.07.16,0,0,0
11.07.16,0,0,0
12.07.16,0,0,0
13.07.16,0,0,0
14.07.16,0,0,0
15.07.16,0,0,0
16.07.16,0,0,0
17.07.16,0,0,0
18.07.16,0,0,0
19.07.16,0,0,0
20.07.16,0,0,0
21.07.16,0,0,0
22.07.16,0,0,0
23.07.16,0,0,0
24.07.16,0,0,0
25.07.16,0,0,0
26.07.16,0,0,0
27.07.16,0,0,0
28.07.16,0,0,0
29.07.16,0,0,0
30.07.16,0,0,0
31.07.16,0,0,0
01.08.16,0,0,0
02.08.16,0,0,0
03.08.16,0,0,0
04.08.16,0,0,0
05.08.16,0,0,0
06.08.16,0,0,0
07.08.16,0,0,0
08.08.16,0,0,0
09.08.16,0,0,0
10.08.16,0,0,0
11.08.16,0,0,0
12.08.16,0,0,0
13.08.16,0,0,0
14.08.16,0,0,0
15.08.16,0,0,0
16.08.16,0,0,0
17.08.16,0,0,0
18.08.16,0,0,0
19.08.16,0,0,0
20.08.16,0,0,0
21.08.16,0,0,0
22.08.16,0,0,0
23.08.16,0,0,0
24.08.16,0,0,0
25.08.16,0,0,0
26.08.16,0,0,0
27.08.16,0,0,0
28.08.16,0,0,0
29.08.16,0,0,0
30.08.16,0,0,0
31.08.16,0,0,0
01.09.16,0,0,0
02.09.16,0,0,0
03.09.16,0,0,0
04.09.16,0,0,0
05.09.16,0,0,0
06.09.16,0,0,0
07.09.16,0,0,0
08.09.16,0,0,0
09.09.16,0,0,0
10.09.16,0,0,0
11.09.16,0,0,0
12.09.16,0,0,0
13.09.16,0,0,0
14.09.16,0,0,0
15.09.16,0,0,0
16.09.16,0,0,0
17.09.16,0,0,0
18.09.16,0,0,0
19.09.16,0,0,0
20.09.16,0,0,0
21.09.16,0,0,0
22.09.16,0,0,0
23.09.16,0,0,0
24.09.16,0,0,0
25.09.16,0,0,0
26.09.16,0,0,0
27.09.16,0,0,0
28.09.16,0,0,0
29.09.16,0,0,0
30.09.16,0,0,0
01.10.16,0,0,0
02.10.16,0,0,0
03.10.16,0,0,0
04.10.16,0,0,0
05.10.16,0,0,0
06.10.16,0,0,0
07.10.16,0,0,0
08.10.16,0,0,0
09.10.16,0,0,0
10.10.16,0,0,0
11.10.16,0,0,0
12.10.16,0,0,0
13.10.16,0,0,0
14.10.16,0,0,0
15.10.16,0,0,0
16.10.16,0,0,0
17.10.16,0,0,0
18.10.16,0,0,0
19.10.16,0,0,0
20.10.16,0,0,0
21.10.16,0,0,0
22.10.16,0,0,0
23.10.16,0,0,0
24.10.16,0,0,0
25.10.16,0,0,0
26.10.16,0,0,0
27.10.16,0,0,0
28.10.16,0,0,0
29.10.16,0,0,0
30.10.16,0,0,0
31.10.16,0,0,0
01.11.16,0,0,0
02.11.16,0,0,0
03.11.16,0,0,0
04.11.16,0,0,0
05.11.16,0,0,0
06.11.16,0,0,0
07.11.16,0,0,0
08.11.16,0,0,0
09.11.16,0,0,0
10.11.16,0,0,0
11.11.16,136.5,720,0
12.11.16,222.20,1180,0
13.11.16,343,1470,0
14.11.16,441.40,1470,0
15.11.16,515.20,854,0
16.11.16,556.20,474,0
17.11.16,597,474,0
18.11.16,630.50,385,0
19.11.16,638.20,110,0
20.11.16,638.20,0,0
21.11.16,638.20,0,0
22.11.16,630.50,0,48
23.11.16,612.36,0,57
24.11.16,602.12,0,57
25.11.16,589,25,52
26.11.16,597.20,175,49
27.11.16,597.20,65,61
28.11.16,589,0,63
29.11.16,577.52,0,64
30.11.16,564.40,0,63
01.12.16,556.20,0,67
02.12.16,548,0,62
03.12.16,539.80,0,21
04.12.16,531.60,0,21
05.12.16,523.40,0,61
06.12.16,515.20,0,61
07.12.16,507,0,60
08.12.16,498.80,0,58
09.12.16,460.60,0,59
10.12.16,471.20,0,60
11.12.16,466,0,62
12.12.16,457.80,0,50
13.12.16,441.40,0,38
14.12.16,433.20,0,42
15.12.16,425,0,44
16.12.16,416.80,0,47
17.12.16,408.60,0,64
18.12.16,404.40,0,42
19.12.16,392.20,0,41
20.12.16,384,0,25
21.12.16,375.80,0,26
22.12.16,367.60,0,26
23.12.16,359.40,0,27
24.12.16,351.20,0,26
25.12.16,343,0,28
26.12.16,326.60,0,48
27.12.16,310.20,0,45
28.12.16,293.80,0,45
29.12.16,285.60,0,48
30.12.16,277.40,0,43
31.12.16,269.20,0,44
