DATE,Storage in Mcft,inflow in cusec,Discharge in cusec
01.01.17,252.89,0,49
02.01.17,244.60,0,49
03.01.17,236.40,0,45
04.01.17,220,0,38
05.01.17,203.60,0,31
06.01.17,195.40,0,30
07.01.17,187.20,0,30
08.01.17,179,0,30
09.01.17,170.50,0,26
10.01.17,162,0,30
11.01.17,157.75,0,27
12.01.17,153.50,0,30
13.01.17,145,0,24
14.01.17,136.50,0,33
15.01.17,132.25,0,29
16.01.17,123.75,0,33
17.01.17,115.25,0,26
18.01.17,106.75,0,30
19.01.17,98.25,0,30
20.01.17,89.75,0,30
21.01.17,85.50,0,27
22.01.17,81.25,0,28
23.01.17,77,0,30
24.01.17,72.75,0,29
25.01.17,72.75,0,24
26.01.17,68.50,0,30
27.01.17,72.75,75,24
28.01.17,77,79,27
29.01.17,81.25,68,31
30.01.17,77,0,31
31.01.17,72.5,0,30
01.02.17,68.50,0,30
02.02.17,64.25,0,29
03.02.17,60,0,26
04.02.17,55.75,0,30
05.02.17,51.50,0,26
06.02.17,47.25,0,25
07.02.17,43,0,21
08.02.17,38.75,0,23
09.02.17,34.50,0,18
10.02.17,30.25,16,16
11.02.17,26,0,16
12.02.17,21.75,0,17
13.02.17,17.50,0,17
14.02.17,13.25,0,17
15.02.17,13.25,0,14
16.02.17,13.25,0,13
17.02.17,9,0,14
18.02.17,9,0,9
19.02.17,0,0,3
20.02.17,0,0,0
21.02.17,0,0,0
22.02.17,0,0,0
23.02.17,0,0,0
24.02.17,0,0,0
25.02.17,0,0,0
26.02.17,0,0,0
27.02.17,0,0,0
28.02.17,0,0,0
01.03.17,0,0,0
02.03.17,0,0,0
03.03.17,0,0,0
04.03.17,0,0,0
05.03.17,0,0,0
06.03.17,0,0,0
07.03.17,0,0,0
08.03.17,0,0,0
09.03.17,0,0,0
10.03.17,0,0,0
11.03.17,0,0,0
12.03.17,0,0,0
13.03.17,0,0,0
14.03.17,0,0,0
15.03.17,0,0,0
16.03.17,0,0,0
17.03.17,0,0,0
18.03.17,0,0,0
19.03.17,0,0,0
20.03.17,0,0,0
21.03.17,0,0,0
22.03.17,0,0,0
23.03.17,0,0,0
24.03.17,0,0,0
25.03.17,0,0,0
26.03.17,0,0,0
27.03.17,0,0,0
28.03.17,0,0,0
29.03.17,0,0,0
30.03.17,0,0,0
31.03.17,0,0,0
01.04.17,0,0,0
02.04.17,0,0,0
03.04.17,0,0,0
04.04.17,0,0,0
05.04.17,0,0,0
06.04.17,0,0,0
07.04.17,0,0,0
08.04.17,0,0,0
09.04.17,0,0,0
10.04.17,0,0,0
11.04.17,0,0,0
12.04.17,0,0,0
13.04.17,0,0,0
14.04.17,0,0,0
15.04.17,0,0,0
16.04.17,0,0,0
17.04.17,0,0,0
18.04.17,0,0,0
19.04.17,0,0,0
20.04.17,0,0,0
21.04.17,0,0,0
22.04.17,0,0,0
23.04.17,0,0,0
24.04.17,0,0,0
25.04.17,0,0,0
26.04.17,0,0,0
27.04.17,0,0,0
28.04.17,0,0,0
29.04.17,0,0,0
30.04.17,0,0,0
01.05.17,0,0,0
02.05.17,0,0,0
03.05.17,0,0,0
04.05.17,0,0,0
05.05.17,0,0,0
06.05.17,0,0,0
07.05.17,0,0,0
08.05.17,0,0,0
09.05.17,0,0,0
10.05.17,0,0,0
11.05.17,0,0,0
12.05.17,0,0,0
13.05.17,0,0,0
14.05.17,0,0,0
15.05.17,0,0,0
16.05.17,0,0,0
17.05.17,0,0,0
18.05.17,0,0,0
19.05.17,0,0,0
20.05.17,0,0,0
21.05.17,0,0,0
22.05.17,0,0,0
23.05.17,0,0,0
24.05.17,0,0,0
25.05.17,0,0,0
26.05.17,0,0,0
27.05.17,0,0,0
28.05.17,0,0,0
29.05.17,0,0,0
30.05.17,0,0,0
31.05.17,0,0,0
01.06.17,0,0,0
02.06.17,0,0,0
03.06.17,0,0,0
04.06.17,0,0,0
05.06.17,0,0,0
06.06.17,0,0,0
07.06.17,0,0,0
08.06.17,0,0,0
09.06.17,0,0,0
10.06.17,0,0,0
11.06.17,0,0,0
12.06.17,0,0,0
13.06.17,0,0,0
14.06.17,0,0,0
15.06.17,0,0,0
16.06.17,0,0,0
17.06.17,0,0,0
18.06.17,0,0,0
19.06.17,0,0,0
20.06.17,0,0,0
21.06.17,0,0,0
22.06.17,0,0,0
23.06.17,0,0,0
24.06.17,0,0,0
25.06.17,0,0,0
26.06.17,0,0,0
27.06.17,0,0,0
28.06.17,0,0,0
29.06.17,0,0,0
30.06.17,0,0,0
01.07.17,0,0,0
02.07.17,0,0,0
03.07.17,0,0,0
04.07.17,0,0,0
05.07.17,0,0,0
06.07.17,0,0,0
07.07.17,0,0,0
